"Component  ","Description  ","Line length  ","R (per km) propagation mode or sequence data [3] ","L (per km) propagation mode or sequence data [3] ","C (per km) propagation mode or sequence data [3] ","Base power  ","Base voltage  ","Base frequency  ","EMTP (.pun) file for line parameters calculation ","Continuously transposed line ","Transformation matrix Untransposed line [9] ","L-C units in EMTP (.pun) file "
line_4107_to_4115_1,0.0,90958.30780242656000,[0.5857124480579669 0.05857124480579668 0.05857124480579668],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[3.724818090701749e-009 7.449636181403497e-009 7.449636181403497e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4107_to_4116_1,0.0,157382.9471354684000,[0.5807849359158971 0.05807849359158971 0.05807849359158971],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.042112016896914e-009 8.084224033793829e-009 8.084224033793829e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4110_to_4114_1,0.0,29274.00519121221000,[0.5558165050488789 0.05558165050488788 0.05558165050488788],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.336136717437285e-009 8.672273434874569e-009 8.672273434874569e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4110_to_4115_1,0.0,84862.24887698538000,[0.6076381777219946 0.06076381777219946 0.06076381777219946],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.160864690607102e-009 8.321729381214204e-009 8.321729381214204e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4110_to_4143_1,0.0,114633.4651995707000,[0.5598694503878153 0.05598694503878154 0.05598694503878154],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[3.875694214109766e-009 7.751388428219532e-009 7.751388428219532e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4116_to_4150_1,0.0,115958.0332220669000,[0.5347159976925603 0.05347159976925603 0.05347159976925603],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.056919018501057e-009 8.113838037002114e-009 8.113838037002114e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4117_to_4124_1,0.0,160786.2199814847000,[0.533510381723062 0.05335103817230619 0.05335103817230619],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[4.046918001605228e-009 8.093836003210455e-009 8.093836003210455e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4117_to_4131_1,0.0,112526.176300638000,[0.545772832640266 0.0545772832640266 0.0545772832640266],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.417288294018291e-009 8.834576588036583e-009 8.834576588036583e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4117_to_4154_1,0.0,56356.5648552581000,[0.5592757990370041 0.0559275799037004 0.0559275799037004],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.260388962368698e-009 8.520777924737396e-009 8.520777924737396e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4124_to_4131_1,0.0,30410.19527226806000,[0.372722971016333 0.0372722971016333 0.0372722971016333],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.86743504094007e-009 1.573487008188014e-008 1.573487008188014e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4124_to_4135_1,0.0,25291.75101753208000,[0.5059700803414131 0.0505970080341413 0.0505970080341413],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.086837511329205e-009 8.173675022658409e-009 8.173675022658409e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4124_to_4150_1,0.0,33758.36517468091000,[0.5404764319316834 0.05404764319316833 0.05404764319316833],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.266441469352966e-009 8.532882938705932e-009 8.532882938705932e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4126_to_4196_1,0.0,29859.61467749109000,[1.632894834635401 0.1632894834635401 0.1632894834635401],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.301808405114264e-009 1.260361681022853e-008 1.260361681022853e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4131_to_4145_1,0.0,21590.33871294298000,[0.3815551230107697 0.03815551230107697 0.03815551230107697],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.003973250131701e-009 1.60079465002634e-008 1.60079465002634e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4131_to_4149_1,0.0,69664.97919032732000,[0.5096858613190181 0.05096858613190181 0.05096858613190181],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.056174314487205e-009 8.11234862897441e-009 8.11234862897441e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4132_to_4235_1,0.0,7684.004838316628000,[2.925111478737068 0.2925111478737068 0.2925111478737068],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.742330610774257e-009 1.348466122154851e-008 1.348466122154851e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4132_to_4343_1,0.0,7699.46510637191000,[2.849042378370539 0.2849042378370539 0.2849042378370539],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.636986677864235e-009 1.327397335572847e-008 1.327397335572847e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4133_to_4134_1,0.0,9799.167914487631000,[0.5434543541941743 0.05434543541941744 0.05434543541941744],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[4.27549315251273e-009 8.55098630502546e-009 8.55098630502546e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4137_to_4142_1,0.0,9617.313531303521000,[0.6384735920649036 0.06384735920649036 0.06384735920649036],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[5.771841439409972e-009 1.154368287881994e-008 1.154368287881994e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4137_to_4146_1,0.0,9560.706395148861000,[0.4682581239417372 0.04682581239417372 0.04682581239417372],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[3.700330145951277e-009 7.400660291902555e-009 7.400660291902555e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4138_to_4151_1,0.0,178868.6569373257000,[0.5386631040519619 0.05386631040519619 0.05386631040519619],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.023821747504259e-009 8.047643495008518e-009 8.047643495008518e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4139_to_4151_2,0.0,175861.6743202062000,[0.5197340497760014 0.05197340497760013 0.05197340497760013],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.093346719966461e-009 8.186693439932922e-009 8.186693439932922e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4140_to_4149_2,0.0,152261.1025323876000,[0.5455782853234011 0.0545578285323401 0.0545578285323401],[0.003724225668350352 0.001241408556116784 0.001241408556116784],[4.219373848014484e-009 8.438747696028968e-009 8.438747696028968e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4141_to_4149_1,0.0,142694.2113299302000,[0.5391394849571264 0.05391394849571263 0.05391394849571263],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.442817220003487e-009 8.885634440006974e-009 8.885634440006974e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4142_to_4146_1,0.0,11569.3910963317000,[0.5145796037373198 0.05145796037373198 0.05145796037373198],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[4.598673535697355e-009 9.197347071394711e-009 9.197347071394711e-009],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4145_to_4146_1,0.0,22074.51962118453000,[0.3708456038734034 0.03708456038734034 0.03708456038734034],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.033107605275446e-009 1.606621521055089e-008 1.606621521055089e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4146_to_4149_1,0.0,110315.3631314161000,[0.4773946284606521 0.04773946284606521 0.04773946284606521],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[5.817948828391131e-009 1.163589765678226e-008 1.163589765678226e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4156_to_4165_1,0.0,19677.46588586665000,[1.501815011134594 0.1501815011134595 0.1501815011134595],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.083631083020215e-009 1.216726216604043e-008 1.216726216604043e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4157_to_4222_1,0.0,977.9733095382629000,[2.351978926580787 0.2351978926580787 0.2351978926580787],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.885423022990127e-009 9.770846045980255e-009 9.770846045980255e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4158_to_4159_1,0.0,1790.83952170126000,[1.001130724955153 0.1001130724955153 0.1001130724955153],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.135181364183051E-9 2.270362728366102E-9 2.270362728366102E-9],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4158_to_4160_1,0.0,75241.02905510641000,[1.321010827590012 0.1321010827590012 0.1321010827590012],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.891574580772188e-009 9.783149161544375e-009 9.783149161544375e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4158_to_4165_1,0.0,49194.89843778754000,[1.609941477437098 0.1609941477437098 0.1609941477437098],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.775659384549248e-009 9.551318769098496e-009 9.551318769098496e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4160_to_4161_1,0.0,24895.494010399000,[2.381811848978699 0.2381811848978699 0.2381811848978699],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.656242248389767e-009 1.131248449677953e-008 1.131248449677953e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4160_to_4166_1,0.0,120992.5707898739000,[1.251422171463412 0.1251422171463412 0.1251422171463412],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[4.992095815668109e-009 9.984191631336219e-009 9.984191631336219e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4162_to_4166_1,0.0,28626.8332371127000,[2.424049025288053 0.2424049025288053 0.2424049025288053],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.419109635369774e-009 1.083821927073955e-008 1.083821927073955e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4163_to_4170_1,0.0,117138.6675872186000,[2.517642632093632 0.2517642632093632 0.2517642632093632],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.050919599334337e-009 1.010183919866867e-008 1.010183919866867e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4163_to_4203_1,0.0,9057.717896497614000,[0.6262979951515338 0.06262979951515339 0.06262979951515339],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[9.805741500058019e-009 1.961148300011604e-008 1.961148300011604e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4165_to_4222_1,0.0,6965.825237975705000,[0.9884419880085944 0.09884419880085944 0.09884419880085944],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.771377994925025e-009 1.154275598985005e-008 1.154275598985005e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4165_to_4223_2,0.0,7148.898887852842000,[0.9413308172875515 0.09413308172875516 0.09413308172875516],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.466889174215392e-009 1.093377834843078e-008 1.093377834843078e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4167_to_4168_1,0.0,10070.36510961168000,[2.637411197484266 0.2637411197484266 0.2637411197484266],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[5.397016027204918e-009 1.079403205440984e-008 1.079403205440984e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4167_to_4170_1,0.0,32139.94373380075000,[2.428932170812173 0.2428932170812174 0.2428932170812174],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.137884064698687e-009 1.027576812939737e-008 1.027576812939737e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4167_to_4182_1,0.0,75677.57088536281000,[1.771591022929791 0.1771591022929791 0.1771591022929791],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.362874550131388e-009 1.072574910026278e-008 1.072574910026278e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4169_to_4181_1,0.0,2919.881262202979000,[1.938151372307166 0.1938151372307166 0.1938151372307166],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.663771461877673e-009 1.132754292375535e-008 1.132754292375535e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4169_to_4181_2,0.0,2860.445529853105000,[1.807668305002229 0.1807668305002229 0.1807668305002229],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.935262001095015e-009 1.187052400219003e-008 1.187052400219003e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4171_to_4172_1,0.0,23232.95069744453000,[1.646816607940061 0.1646816607940061 0.1646816607940061],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.60548577257857e-009 1.121097154515714e-008 1.121097154515714e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4171_to_4173_1,0.0,5379.013192723863000,[2.221581145605101 0.2221581145605101 0.2221581145605101],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.809855379867025e-009 1.161971075973405e-008 1.161971075973405e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4171_to_4183_1,0.0,30140.6408080708000,[1.418466013722081 0.1418466013722081 0.1418466013722081],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.114719554999521e-009 1.222943910999904e-008 1.222943910999904e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4171_to_4195_1,0.0,49727.99936118899000,[1.633269567631077 0.1633269567631077 0.1633269567631077],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.766115943624051e-009 9.532231887248101e-009 9.532231887248101e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4174_to_4183_1,0.0,14089.40548055704000,[1.517050803327177 0.1517050803327177 0.1517050803327177],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.104291246047116e-009 1.220858249209423e-008 1.220858249209423e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4174_to_4200_1,0.0,25200.18353311739000,[1.542324816032926 0.1542324816032926 0.1542324816032926],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.147933672561515e-009 1.229586734512303e-008 1.229586734512303e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4175_to_4190_1,0.0,13256.42639039576000,[1.440640497531069 0.1440640497531069 0.1440640497531069],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.44463594707454e-009 1.088927189414908e-008 1.088927189414908e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4175_to_4200_1,0.0,10977.79982634106000,[1.457112796138875 0.1457112796138875 0.1457112796138875],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.545709630905695e-009 1.109141926181139e-008 1.109141926181139e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4176_to_4184_1,0.0,5169.911727118811000,[1.490636468991285 0.1490636468991285 0.1490636468991285],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.792067811388015e-009 1.158413562277603e-008 1.158413562277603e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4176_to_4191_1,0.0,13490.41473171753000,[1.493941283111064 0.1493941283111064 0.1493941283111064],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.180601628586287e-009 1.036120325717257e-008 1.036120325717257e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4177_to_4178_1,0.0,18532.44076663414000,[1.402661334641045 0.1402661334641045 0.1402661334641045],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.57109631856931e-009 1.114219263713862e-008 1.114219263713862e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4177_to_4184_1,0.0,5827.511768994922000,[1.451182823590088 0.1451182823590088 0.1451182823590088],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.637831564834658e-009 1.127566312966932e-008 1.127566312966932e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4178_to_4179_1,0.0,20162.22723769237000,[1.549770201326147 0.1549770201326147 0.1549770201326147],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.434901893978115e-009 1.086980378795623e-008 1.086980378795623e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4179_to_4180_1,0.0,4013.671476827419000,[1.508350573312581 0.1508350573312581 0.1508350573312581],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.278335807302631e-009 1.055667161460526e-008 1.055667161460526e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4180_to_4184_1,0.0,50002.91174563183000,[2.039184631495833 0.2039184631495833 0.2039184631495833],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.332434069345704e-009 1.066486813869141e-008 1.066486813869141e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4180_to_4185_1,0.0,67543.68236279089000,[1.00891065683161 0.1008910656831609 0.1008910656831609],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.776926613725785e-009 9.55385322745157e-009 9.55385322745157e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4180_to_4185_2,0.0,65432.74616989383000,[2.635989871146001 0.2635989871146001 0.2635989871146001],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.898506253660532e-009 1.179701250732106e-008 1.179701250732106e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4183_to_4188_1,0.0,11616.0155357355000,[1.491557813047207 0.1491557813047207 0.1491557813047207],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.046075408767067e-009 1.209215081753413e-008 1.209215081753413e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4185_to_4186_1,0.0,2745.979379568959000,[1.055649554238482 0.1055649554238482 0.1055649554238482],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.21941936062563e-009 1.043883872125126e-008 1.043883872125126e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4185_to_4187_2,0.0,5778.656297040218000,[2.560518641016154 0.2560518641016155 0.2560518641016155],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.65542888736956e-009 9.310857774739119e-009 9.310857774739119e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4189_to_4193_1,0.0,16052.81960677937000,[1.442006959451541 0.1442006959451541 0.1442006959451541],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.079272970623049e-008 2.158545941246098e-008 2.158545941246098e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4189_to_4214_1,0.0,15864.59750362754000,[1.401300129834077 0.1401300129834077 0.1401300129834077],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.528720856377003e-009 1.105744171275401e-008 1.105744171275401e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4190_to_4191_1,0.0,3316.95189512789000,[1.551487059421884 0.1551487059421884 0.1551487059421884],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.238326169037327e-009 1.047665233807465e-008 1.047665233807465e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4190_to_4193_1,0.0,42773.39734794582000,[1.482999666125538 0.1482999666125539 0.1482999666125539],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[6.225324803555181e-009 1.245064960711036e-008 1.245064960711036e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4190_to_4196_1,0.0,70857.45920804142000,[2.234133583656743 0.2234133583656744 0.2234133583656744],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.09524514857486e-009 1.019049029714972e-008 1.019049029714972e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4192_to_4193_1,0.0,7190.656447098992000,[1.646057139808485 0.1646057139808485 0.1646057139808485],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.773809003349596e-009 1.154761800669919e-008 1.154761800669919e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4192_to_4194_1,0.0,18999.54839366418000,[1.512851839353422 0.1512851839353422 0.1512851839353422],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.330226509191761e-009 1.066045301838352e-008 1.066045301838352e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4194_to_4204_1,0.0,14345.21386458278000,[0.9527542761589484 0.09527542761589484 0.09527542761589484],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.753760427018701e-009 1.15075208540374e-008 1.15075208540374e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4195_to_4196_1,0.0,37164.34497443865000,[1.606568570841478 0.1606568570841478 0.1606568570841478],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.062740651518874e-009 1.012548130303775e-008 1.012548130303775e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4196_to_4197_1,0.0,36321.15505229127000,[2.118130831041055 0.2118130831041055 0.2118130831041055],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.368309494674392e-009 1.073661898934878e-008 1.073661898934878e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
