"Component  ","Description  ","Primary winding connection ","Primary resistance [3] ","Primary leakage inductance [3] ","Primary winding voltage [3] ","Secondary winding connection ","Secondary resistance [3] ","Secondary leakage inductance [3] ","Secondary winding voltage [3] ","Magnetization resistance [3] ","Magnetization inductance [3] ","Primary neutral resistance [4] ","Primary neutral inductance [4] ","Primary neutral capacitance [4] ","Secondary neutral resistance [4] ","Secondary neutral inductance [4] ","Secondary neutral capacitance [4] ","Base primary winding voltage ","Base secondary winding voltage ","Base power  ","Base frequency  "
xf_4195_to_4373_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78877.59377668667000 78877.59377668667000 78877.59377668667000],Yg,[0.0472219035802509 0.0472219035802509 0.0472219035802509],[0.006263001911049009 0.006263001911049009 0.006263001911049009],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4196_to_4242_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2761972413062474 0.2761972413062474 0.2761972413062474],[0.01869208511330206 0.01869208511330206 0.01869208511330206],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4196_to_4242_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.3095863262573298 0.3095863262573298 0.3095863262573298],[0.01941264549469138 0.01941264549469138 0.01941264549469138],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4197_to_4374_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2288970406641191 0.2288970406641191 0.2288970406641191],[0.0166448376620487 0.0166448376620487 0.0166448376620487],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4197_to_4374_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2302744184659676 0.2302744184659676 0.2302744184659676],[0.01682635983960227 0.01682635983960227 0.01682635983960227],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4198_to_4375_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2364607917375046 0.2364607917375046 0.2364607917375046],[0.01703353079799728 0.01703353079799728 0.01703353079799728],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4198_to_4375_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2333562799310281 0.2333562799310281 0.2333562799310281],[0.01691105693792586 0.01691105693792586 0.01691105693792586],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4199_to_4423_2A,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[73667.86207564871000 73667.86207564871000 73667.86207564871000],Yg,[0.000116718146143151 0.000116718146143151 0.000116718146143151],[2.512461459552477e-007 2.512461459552477e-007 2.512461459552477e-007],[577.3502691896258000 577.3502691896258000 577.3502691896258000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,577.3502691896258,33333333.33333333,50
xf_4200_to_4383_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1295866031597405 0.1295866031597405 0.1295866031597405],[0.009177584428589075 0.009177584428589075 0.009177584428589075],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4200_to_4383_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1297059053060194 0.1297059053060194 0.1297059053060194],[0.008646189128445636 0.008646189128445636 0.008646189128445636],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4201_to_4146_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74304.97964470483000 74304.97964470483000 74304.97964470483000],Yg,[1.109388675292836 1.109388675292836 1.109388675292836],[0.1684474053734906 0.1684474053734906 0.1684474053734906],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,33333333.33333333,50
xf_4202_to_4329_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77543.91465485864000 77543.91465485864000 77543.91465485864000],Yg,[0.2595869532634298 0.2595869532634298 0.2595869532634298],[0.03058217924334684 0.03058217924334684 0.03058217924334684],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_4202_to_4329_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77543.91465485864000 77543.91465485864000 77543.91465485864000],Yg,[0.2760133458121632 0.2760133458121632 0.2760133458121632],[0.02803174371939895 0.02803174371939895 0.02803174371939895],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_4206_to_4336_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2185633687520531 0.2185633687520531 0.2185633687520531],[0.01712881842339026 0.01712881842339026 0.01712881842339026],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4206_to_4336_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.3203100105622593 0.3203100105622593 0.3203100105622593],[0.01806311410626961 0.01806311410626961 0.01806311410626961],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4210_to_4385_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.0667731382580886 0.0667731382580886 0.0667731382580886],[0.009094053600914233 0.009094053600914233 0.009094053600914233],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4210_to_4386_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.06555373859735278 0.06555373859735278 0.06555373859735278],[0.008886231011203019 0.008886231011203019 0.008886231011203019],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4213_to_4149_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74686.03082236999000 74686.03082236999000 74686.03082236999000],Yg,[1.146458201685079 1.146458201685079 1.146458201685079],[0.174927250304436 0.174927250304436 0.174927250304436],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,33333333.33333333,50
xf_4213_to_4387_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.4592582375298028 0.4592582375298028 0.4592582375298028],[0.01696543000577908 0.01696543000577908 0.01696543000577908],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4213_to_4388_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.4353034772754651 0.4353034772754651 0.4353034772754651],[0.01651725425211446 0.01651725425211446 0.01651725425211446],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4215_to_4389_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78877.59377668667000 78877.59377668667000 78877.59377668667000],Yg,[0.2507758871491013 0.2507758871491013 0.2507758871491013],[0.01689618534598691 0.01689618534598691 0.01689618534598691],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4215_to_4390_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[73555.07092705982000 73555.07092705982000 73555.07092705982000],Yg,[0.2410741595592778 0.2410741595592778 0.2410741595592778],[0.0181582898520229 0.0181582898520229 0.0181582898520229],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4216_to_4151_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78115.49142135637000 78115.49142135637000 78115.49142135637000],Yg,[1.632741790625318 1.632741790625318 1.632741790625318],[0.1909813577298352 0.1909813577298352 0.1909813577298352],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,33333333.33333333,50
xf_4216_to_4151_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78115.49142135637000 78115.49142135637000 78115.49142135637000],Yg,[0.8449960775339882 0.8449960775339882 0.8449960775339882],[0.1872240954150534 0.1872240954150534 0.1872240954150534],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,33333333.33333333,50
xf_4217_to_4391_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.3174737509915554 0.3174737509915554 0.3174737509915554],[0.01913701711019048 0.01913701711019048 0.01913701711019048],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4217_to_4391_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1827453760049009 0.1827453760049009 0.1827453760049009],[0.01706946730393134 0.01706946730393134 0.01706946730393134],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4218_to_4392_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.3029523654207653 0.3029523654207653 0.3029523654207653],[0.01653144680820981 0.01653144680820981 0.01653144680820981],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4219_to_4393_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74882.65323004521000 74882.65323004521000 74882.65323004521000],Yg,[0.1109436781880443 0.1109436781880443 0.1109436781880443],[0.01065582692470167 0.01065582692470167 0.01065582692470167],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4219_to_4393_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74882.65323004521000 74882.65323004521000 74882.65323004521000],Yg,[0.07661850802113518 0.07661850802113518 0.07661850802113518],[0.00829998042478312 0.00829998042478312 0.00829998042478312],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4220_to_4074_6,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77537.81783601599000 77537.81783601599000 77537.81783601599000],Yg,[0.1690460165919287 0.1690460165919287 0.1690460165919287],[0.01760502304016249 0.01760502304016249 0.01760502304016249],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4220_to_4075_7,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78115.49142135637000 78115.49142135637000 78115.49142135637000],Yg,[0.01830114224685938 0.01830114224685938 0.01830114224685938],[0.001176448117648071 0.001176448117648071 0.001176448117648071],[6639.528095680697000 6639.528095680697000 6639.528095680697000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6639.528095680696,33333333.33333333,50
xf_4220_to_4076_8,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[80973.37525384502000 80973.37525384502000 80973.37525384502000],Yg,[0.007687770310348318 0.007687770310348318 0.007687770310348318],[0.001022740984006961 0.001022740984006961 0.001022740984006961],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6639.528095680696,33333333.33333333,50
xf_4220_to_4077_9,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[85736.51497465943000 85736.51497465943000 85736.51497465943000],Yg,[0.01789257049468197 0.01789257049468197 0.01789257049468197],[0.001193772953451485 0.001193772953451485 0.001193772953451485],[6639.528095680697000 6639.528095680697000 6639.528095680697000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6639.528095680696,33333333.33333333,50
xf_4221_to_4102_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77543.91465485864000 77543.91465485864000 77543.91465485864000],Yg,[0.03700976238853841 0.03700976238853841 0.03700976238853841],[0.004719428754848137 0.004719428754848137 0.004719428754848137],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4221_to_4103_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77543.91465485864000 77543.91465485864000 77543.91465485864000],Yg,[0.03698267907997781 0.03698267907997781 0.03698267907997781],[0.004334220455235241 0.004334220455235241 0.004334220455235241],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4222_to_4398_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78149.02392499089000 78149.02392499089000 78149.02392499089000],Yg,[0.04311264614693851 0.04311264614693851 0.04311264614693851],[0.005985394424363726 0.005985394424363726 0.005985394424363726],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4222_to_4398_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78149.02392499089000 78149.02392499089000 78149.02392499089000],Yg,[0.04142011209340521 0.04142011209340521 0.04142011209340521],[0.006507803226285434 0.006507803226285434 0.006507803226285434],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4224_to_4072_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[79096.98687897873000 79096.98687897873000 79096.98687897873000],Yg,[0.008739363856124956 0.008739363856124956 0.008739363856124956],[0.0007599433070995149 0.0007599433070995149 0.0007599433070995149],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_4224_to_4073_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[79096.98687897873000 79096.98687897873000 79096.98687897873000],Yg,[0.008563737207509241 0.008563737207509241 0.008563737207509241],[0.0007262328598883976 0.0007262328598883976 0.0007262328598883976],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_4224_to_4340_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78877.59377668667000 78877.59377668667000 78877.59377668667000],Yg,[0.1839561815449624 0.1839561815449624 0.1839561815449624],[0.01729377113385229 0.01729377113385229 0.01729377113385229],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4224_to_4340_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78877.59377668667000 78877.59377668667000 78877.59377668667000],Yg,[0.1675905485654051 0.1675905485654051 0.1675905485654051],[0.01807351091445328 0.01807351091445328 0.01807351091445328],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_4226_to_4112_5,0.0,Yg,[4.356000000000001e-008 4.356000000000001e-008 4.356000000000001e-008],[1.386557864216592e-010 1.386557864216592e-010 1.386557864216592e-010],[38105.1177665153000 38105.1177665153000 38105.1177665153000],Yg,[2.444206086118848 2.444206086118848 2.444206086118848],[0.3049052029930665 0.3049052029930665 0.3049052029930665],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[43560000 43560000 43560000],[138655.7864216592 138655.7864216592 138655.7864216592],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],38105.1177665153,158771.3240271471,33333333.33333333,50
xf_4226_to_4112_6,0.0,Yg,[4.356000000000001e-008 4.356000000000001e-008 4.356000000000001e-008],[1.386557864216592e-010 1.386557864216592e-010 1.386557864216592e-010],[38105.1177665153000 38105.1177665153000 38105.1177665153000],Yg,[2.597013080676958 2.597013080676958 2.597013080676958],[0.3155950019137496 0.3155950019137496 0.3155950019137496],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[43560000 43560000 43560000],[138655.7864216592 138655.7864216592 138655.7864216592],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],38105.1177665153,158771.3240271471,33333333.33333333,50
